PlayerName;Pos;Team;TacklesTot;TacklesAst;TacklesSck;TacklesTfl;TurnoverInt;TurnoverFrcFum;TurnoverFumRec;ScoreIntTd;ScoreFumTd;ScoreBlkTd;ScoreSaf;ScoreDef2ptRet;Blk;PDef;QBHit;ReturnIntYds;ReturnFumYds;TotalPoints;Rank
Vince Williams;LB;PIT;28;27;2.5;4;-;-;1;-;-;-;-;-;-;1;9;-;-;60.00;85
Kamalei Correa;LB;TEN;27;10;5;6;-;-;1;-;-;-;-;-;-;2;5;-;-;57.50;86
Tanoh Kpassagnon;LB;KC;21;8;4;6;-;1;1;-;-;-;-;-;2;2;11;-;-;57.50;87
Sam Eguavoen;LB;MIA;22;20;3.5;7;-;-;1;-;-;-;-;-;-;1;9;-;-;57.00;88
Josh Bynes;LB;CIN;23;23;1;6;2;-;-;-;-;-;-;-;-;4;2;7;-;54.73;89
Tyus Bowser;LB;BAL;20;4;5;3;-;1;1;-;1;-;-;-;-;2;10;-;33;54.60;90
Christian Jones;LB;DET;29;22;2;2;-;-;1;-;-;-;-;-;-;4;3;-;-;54.50;91
Foye Oluokun;LB;ATL;36;26;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;54.00;92
Leon Jacobs;LB;JAX;31;11;2;4;-;-;1;-;-;-;-;-;-;1;3;-;-;51.00;93
Troy Reeder;LB;LA;36;22;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;51.00;94
Brandon Copeland;LB;NE;27;15;1.5;5;-;1;-;-;-;-;-;-;-;2;3;-;-;50.50;95
Ryan Kerrigan;LB;WAS;16;9;5.5;6;-;1;-;-;-;-;-;-;-;1;14;-;-;50.50;96
Ben Niemann;LB;KC;35;21;-;1;-;-;1;-;-;-;-;-;-;1;1;-;-;50.50;97
Tarell Basham;LB;NYJ;18;15;2;3;1;-;1;-;-;-;-;-;1;6;4;1;2;48.10;98
Jaylon Ferguson;LB;BAL;20;11;2.5;6;-;-;1;-;-;-;-;-;-;1;9;-;-;47.00;99
Reggie Ragland;LB;DET;23;7;2;4;-;-;1;-;1;-;-;-;-;-;3;-;5;46.17;100
Austin Calitro;LB;CIN;30;10;1;4;-;-;-;-;-;-;-;-;-;1;2;-;-;45.00;101
Uchenna Nwosu;LB;LAC;23;8;2;5;-;1;-;-;-;-;-;-;-;1;7;-;-;45.00;102
Blake Cashman;LB;NYJ;27;13;0.5;3;-;-;1;-;-;-;-;-;-;1;3;-;-;43.50;103
Olivier Vernon;LB;CLE;20;6;3.5;4;-;1;-;-;-;-;-;-;-;-;11;-;-;43.50;104
Dee Ford;LB;SF;10;4;6.5;6;-;2;-;-;-;-;-;-;-;1;6;-;-;42.00;105
Quincy Williams;LB;JAX;30;18;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;42.00;106
L.J. Fort;LB;BAL;22;15;2;4;-;-;-;-;-;-;-;-;-;1;2;-;-;41.50;107
Kevin Pierre-Louis;LB;WAS;27;10;-;2;1;-;-;-;-;-;-;-;-;3;2;2;-;41.07;108
Ja'Whaun Bentley;LB;NE;29;15;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;41.00;109
Kwon Alexander;LB;SF;22;12;0.5;2;1;1;-;-;-;-;-;-;-;4;1;-;-;40.50;110
Elandon Roberts;LB;MIA;18;11;1;1;-;-;-;-;-;-;-;-;-;1;3;-;-;39.80;111
Josey Jewell;LB;DEN;21;17;1.5;1;-;-;2;-;-;-;-;-;-;-;2;-;-;39.00;112
Jalen Reeves-Maybin;LB;DET;28;9;-;1;-;1;1;-;-;-;-;-;-;-;1;-;-;38.50;113
Kyzir White;LB;LAC;25;15;-;1;1;-;-;-;-;-;-;-;-;2;-;-;-;38.00;114
Malik Reed;LB;DEN;16;11;2;4;-;-;1;-;-;-;-;-;-;1;5;-;-;37.00;115
Jeremiah Attaochu;LB;DEN;14;7;3.5;5;-;-;1;-;-;-;-;-;-;-;5;-;1;36.53;116
Kevin Minter;LB;TB;21;13;-;2;-;-;1;-;-;-;-;-;-;2;1;-;-;35.00;117
Kiko Alonso;LB;NO;25;6;-;3;-;-;-;-;-;-;-;-;-;1;2;-;-;34.50;118
Bradley Chubb;LB;DEN;16;5;1;5;-;1;-;-;-;-;-;-;-;1;6;-;-;34.00;119
Jermaine Carter;LB;CAR;22;9;0.5;2;-;-;-;-;-;-;-;-;1;-;2;-;-;33.50;120
Craig Robertson;LB;NO;20;7;1;2;1;-;-;-;-;-;-;-;-;1;1;3;-;32.10;121
B.J. Goodson;LB;CLE;23;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30.00;122
Joe Thomas;LB;DAL;21;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;30.00;123
Kamu Grugier-Hill;LB;MIA;17;6;-;4;-;-;1;-;-;-;-;-;-;-;1;-;29;29.47;124
Rashan Gary;LB;GB;13;8;2;3;-;-;1;-;-;-;-;-;-;-;3;-;-;29.00;125
Kyler Fackrell;LB;NYG;13;10;1;2;-;-;-;-;-;-;-;-;-;-;10;-;-;28.00;126
Jake Martin;LB;HOU;6;5;3.5;3;-;1;1;-;-;-;-;-;-;-;7;-;-;27.50;127
Ryan Connelly;LB;NYG;10;10;1;2;2;-;-;-;-;-;-;-;-;2;1;18;-;27.10;128
Andrew Van Ginkel;LB;MIA;11;4;1;4;-;-;1;-;-;-;-;-;-;-;4;-;-;25.00;129
Reggie Gilbert;LB;TEN;13;9;1;1;-;-;-;-;-;-;-;-;-;1;3;-;-;23.50;130
Travin Howard;LB;LA;19;3;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;23.50;131
Kenny Young;LB;LA;15;2;-;3;-;1;-;-;-;-;-;-;-;-;2;-;-;23.50;132
Justin Hollins;LB;DEN;12;9;1;1;-;-;-;-;-;-;-;-;-;2;2;-;-;23.00;133
T.J. Edwards;LB;PHI;15;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22.50;134
Avery Moss;LB;MIA;11;14;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;20.00;135
