PlayerName;Pos;Team;PassingYDS;PassingTD;PassingInt;RushingPassingYDS;ReceivingRec;ReceivingYDS;ReceivingTD;RetTD;FumTD;2PT;Fum;TotalPoints;Rank
Zack Moss;RB;BUF;-;-;-;-;-;-;-;-;-;-;-;0.00;195
Khalfani Muhammad;RB;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;196
Marcus Murphy;RB;CAR;-;-;-;-;-;-;-;-;-;-;-;0.00;197
Gabe Nabers;RB;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;198
Spencer Nigh;RB;PIT;-;-;-;-;-;-;-;-;-;-;-;0.00;199
Sewo Olonilua;RB;DAL;-;-;-;-;-;-;-;-;-;-;-;0.00;200
Jacques Patrick;RB;CIN;-;-;-;-;-;-;-;-;-;-;-;0.00;201
La'Mical Perine;RB;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;202
Scottie Phillips;RB;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;203
Bronson Rechsteiner;RB;BAL;-;-;-;-;-;-;-;-;-;-;-;0.00;204
Craig Reynolds;RB;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;205
James Robinson;RB;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;206
Connor Slomka;RB;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;207
Rodney Smith;RB;CAR;-;-;-;-;-;-;-;-;-;-;-;0.00;208
Darren Sproles;RB;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;209
William Stanback;RB;LV;-;-;-;-;-;-;-;-;-;-;-;0.00;210
Johnny Stanton;RB;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;211
D'Andre Swift;RB;DET;-;-;-;-;-;-;-;-;-;-;-;0.00;212
J.J. Taylor;RB;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;213
Jonathan Taylor;RB;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;214
Patrick Taylor;RB;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;215
Chris Thompson;RB;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;216
Mark Thompson;RB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;217
Ke'Shawn Vaughn;RB;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;218
Christian Wade;RB;BUF;-;-;-;-;-;-;-;-;-;-;-;0.00;219
Jonathan Ward;RB;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;220
Aca'Cedric Ware;RB;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;221
Mike Warren;RB;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;222
Ralph Webb;RB;PIT;-;-;-;-;-;-;-;-;-;-;-;0.00;223
Mike Weber;RB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;224
Elijah Wellman;RB;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;225
Devwah Whaley;RB;CIN;-;-;-;-;-;-;-;-;-;-;-;0.00;226
Trayveon Williams;RB;CIN;-;-;-;-;-;-;-;-;-;-;-;0.00;227
Shaun Wilson;RB;TEN;-;-;-;-;-;-;-;-;-;-;-;0.00;228
