PlayerName;Pos;Team;PassingYDS;PassingTD;PassingInt;RushingPassingYDS;ReceivingRec;ReceivingYDS;ReceivingTD;RetTD;FumTD;2PT;Fum;TotalPoints;Rank
Kahale Warring;TE;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;205
Benjamin Watson;TE;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;206
David Wells;TE;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;207
Cole Wick;TE;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;208
Nate Wieting;TE;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;209
Mitchell Wilcox;TE;CIN;-;-;-;-;-;-;-;-;-;-;-;0.00;210
Luke Willson;TE;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;211
Caleb Wilson;TE;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;212
Charlie Woerner;TE;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;213
Ethan Wolf;TE;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;214
Dom Wood-Anderson;TE;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;215
