PlayerName;Pos;Team;PassingYDS;PassingTD;PassingInt;RushingPassingYDS;ReceivingRec;ReceivingYDS;ReceivingTD;RetTD;FumTD;2PT;Fum;TotalPoints;Rank
P.J. Walker;QB;CAR;-;-;-;-;-;-;-;-;-;-;-;0.00;125
Davis Webb;QB;BUF;-;-;-;-;-;-;-;-;-;-;-;0.00;126
Joe Webb;QB;HOU;-;-;-;-;-;-;-;-;-;-;-;0.00;127
Mike White;QB;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;128
Manny Wilkins;QB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;129
Jameis Winston;QB;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;130
John Wolford;QB;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;131
Josh Woodrum;QB;WAS;-;-;-;-;-;-;-;-;-;-;-;0.00;132
Logan Woodside;QB;TEN;-;-;-;-;-;-;-;-;-;-;-;0.00;133
Tim Boyle;QB;GB;15;-;-;-7;-;-;-;-;-;-;-;-0.10;134
Garrett Gilbert;QB;CLE;-;-;-;-3;-;-;-;-;-;-;-;-0.30;135
Nick Mullens;QB;SF;-;-;-;-3;-;-;-;-;-;-;-;-0.30;136
Sean Mannion;QB;MIN;126;-;2;-5;-;-;-;-;-;-;1;-0.69;137
Jarrett Stidham;QB;NE;14;-;1;-2;-;-;-;-;-;-;-;-1.64;138
