Pick;Round;PlayerName;Pos/Team;WasKepper;KeeperValue
208;18;Wil Lutz;K - NO;No;18
209;18;Stephen Gostkowski;K - NE;No;18
210;18;Ito Smith;RB - ATL;No;18
211;18;Christian Kirksey;LB - CLE;No;18
212;18;Cole Beasley;WR - BUF;No;18
213;18;Mohamed Sanu;WR - NE;No;18
214;18;DaeSean Hamilton;WR - DEN;No;18
215;18;N'Keal Harry;WR - NE;No;18
216;18;Jalen Richard;RB - LV;No;18
217;19;Deebo Samuel;WR - SF;No;19
218;19;Darwin Thompson;RB - KC;No;19
219;19;Anthony Hitchens;LB - KC;No;19
220;19;Quincy Enunwa;WR - NYJ;No;19
221;19;Adrian Amos;DB - GB;No;19
222;19;Rex Burkhead;RB - NE;No;19
223;19;George Kittle;TE - SF;Yes;9
224;19;Tom Brady;QB - NE;No;19
225;19;Ronald Jones;RB - TB;No;19
226;19;Paul Richardson;WR - WAS;No;19
227;19;Justin Jackson;RB - LAC;No;19
228;19;Kenny Clark;DL - GB;No;19
229;20;Jameis Winston;QB - TB;No;20
230;20;Dak Prescott;QB - DAL;No;20
231;20;Mike Davis;RB - CAR;No;20
232;20;Justin Houston;DL - IND;No;20
233;20;Tre'Quan Smith;WR - NO;No;20
234;20;Adam Humphries;WR - TEN;No;20
235;20;T.J. Hockenson;TE - DET;No;20
236;20;Adrian Phillips;DB - LAC;No;20
237;20;Chris Thompson;RB - WAS;No;20
238;20;Albert Wilson;WR - MIA;No;20
239;20;Trey Quinn;WR - WAS;No;20
240;20;Minkah Fitzpatrick;DB - PIT;No;20
241;21;Mike Badgley;K - LAC;No;21
242;21;Darren Waller;TE - LV;No;21
243;21;Ka'imi Fairbairn;K - HOU;No;21
244;21;Melvin Ingram;DL - LAC;No;21
245;21;Rashard Higgins;WR - CLE;No;21
246;21;Mecole Hardman;WR - KC;No;21
247;21;Mitchell Trubisky;QB - CHI;No;21
248;21;Trey Burton;TE - CHI;No;21
249;21;Ted Ginn;WR - NO;No;21
250;21;Ronnie Harrison;DB - JAX;No;21
251;21;Kyle Rudolph;TE - MIN;No;21
252;21;Jabaal Sheard;DL - IND;No;21
253;22;Tyler Eifert;TE - CIN;No;22
254;22;Nyheim Hines;RB - IND;No;22
255;22;Kyler Murray;QB - ARI;No;22
256;22;Frank Gore;RB - BUF;No;22
257;22;Damien Harris;RB - NE;No;22
258;22;Giovani Bernard;RB - CIN;No;22
259;22;Chase Edmonds;RB - ARI;No;22
260;22;Jamaal Williams;RB - GB;No;22
261;22;Jordan Reed;TE - WAS;No;22
262;22;Mark Andrews;TE - BAL;No;22
263;22;Earl Thomas;DB - BAL;No;22
264;22;Miles Boykin;WR - BAL;No;22
265;23;Ty Montgomery;RB - NYJ;No;23
266;23;Mason Crosby;K - GB;No;23
267;23;Jayon Brown;LB - TEN;No;23
268;23;Fred Warner;LB - SF;No;23
269;23;Zach Brown;LB;No;23
270;23;Brett Maher;K;No;23
271;23;Jesper Horsted;TE - CHI;No;23
272;23;Ryquell Armstead;RB - JAX;No;23
273;23;Derek Carr;QB - LV;No;23
274;23;Matt Gay;K - TB;No;23
275;23;Damien Williams;RB - KC;Yes;11
276;23;Gus Edwards;RB - BAL;No;23
